title,abstract,authors,keywords,year,journal,doi,url,volume,number,pages,issn,source
"Generative artificial intelligence, knowledge search patterns, and circular supply chain dependence reconstruction: A dual path model for performance improvement","Unhealthy interdependence often constrains smart and resilient circular supply chains. Drawing on resource dependence theory and knowledge management theory, this study explores how generative artificial intelligence (GenAI) can reshape interdependence and empower circular supply chains. Using survey data from 409 Chinese firms and partial least squares structural equation modeling, we find that GenAI can reduce dependence asymmetry and strengthen joint dependence in the circular supply chain by facilitating interactive and non-interactive knowledge search, thereby further improving smart and resilient circular supply chain performance. Moreover, transactive memory systems and digital organizational culture can strengthen the promoting effect of GenAI on interactive and non-interactive knowledge search. Sensitivity analysis indicates that dependence asymmetry is the strongest predictor of smart and resilient circular supply chain performance. This study fills a theoretical gap in research on how GenAI influences supply chain interdependence and provides actionable guidance for managers deploying GenAI within circular economy frameworks.",Yutian Liu and Hong Tian,"Generative artificial intelligence, Circular supply chain, Interactive knowledge search, Non-interactive knowledge search, Dependence asymmetry, Joint dependence",2026,Technology in Society,https://doi.org/10.1016/j.techsoc.2026.103308,https://www.sciencedirect.com/science/article/pii/S0160791X26000977,86,,103308,0160-791X,sciencedirect
Generative artificial intelligence and the built environment: An analysis of sentiments and socioeconomic implications,"Generative artificial intelligence (GenAI) wields enormous potential to transform the built environment. The creative cognitive ability of GenAI to generate realistic content promises to provide a disruptive alternative solution to boost innovation, productivity and efficiency in the built environment. However, the industry is shrouded with uncertainties about the prospects and socioeconomic implications of GenAI. Hence, to unshroud these uncertainties, this study adopted a three-phase approach. Firstly, the study presented a state-of-the-art analysis of current applications and use case scenarios of GenAI models in the built environment. Secondly, the study employed multiple python libraries to analyse the sentiments of built environment professionals about the adoption of GenAI in the built environment. Thirdly, the study conducted a focus group study to determine the contextual layers behind the sentiments analyzed. The study evaluated 10 GenAI models and identified four to be mature for use in the built environment. The sentiment analysis revealed that 76% of professionals expressed positive sentiments about the adoption of GenAI, 8.5% were negative and 15.5% were neutral. The focus study identified ‘potential to save time and reduce’, ‘innovation and dynamism in built environment output’, ‘broader diversity of job creation in the built environment’, ‘opportunities for partnerships and collaborations’, and ‘enhanced company reputation’ as the contextual layers behind the positive sentiments of the professionals analyzed. These constituted the positive socioeconomic implications. Furthermore, the study identified ‘perception of potential white collar job losses’ among mid to top level management workers as the biggest threat to the adoption of GenAI in the built environment. This study makes a significant contribution to the body of knowledge by being the foremost study in built environment research to analyse the sentiments of built environment professionals about the adoption of GenAI. Findings from this study provide comprehensive depth of understanding into the current state-of-the-art of GenAI and its potential to augment the capabilities of professionals in the built environment. For policy and corporate decision-making, findings of the socioeconomic implications of GenAI would be valuable for informed policy drafting and corporate evaluations of GenAI adoption. Lastly, the study proposes a viable strategy for the adoption of GenAI in the built environment which serves as a guide for further deliberation on GenAI adoption and diffusion in the built environment.","Joshua Amo Larbi and Llewellyn, C.M. Tang and Lawrence Martin Mankata and Caleb Debrah and Benjamin Kwaku Ababio and Frank Ato Ghansah and Michael Nii Addy","Generative artificial intelligence, Built environment, Socioeconomic implication, Sentiment analysis, Generative models, Construction industry",2026,Technological Forecasting and Social Change,https://doi.org/10.1016/j.techfore.2026.124689,https://www.sciencedirect.com/science/article/pii/S0040162526001666,228,,124689,0040-1625,sciencedirect
Nursing judgment in the age of generative artificial intelligence: A cross-national study on clinical decision-making performance among emergency nurses,"Background
Clinical decision-making is a core competency in emergency nursing, requiring rapid and accurate assessments. With the growing integration of Generative Artificial Intelligence in healthcare, there is a pressing need to understand its potential as a clinical decision support tool. While Generative Artificial Intelligence models show high accuracy and consistency, their ability to navigate complex, context-sensitive scenarios remains in question.
Objectives
This study aimed to compare the clinical decision-making performance of emergency nurses from Israel and Italy with Generative Artificial Intelligence models (Claude-3.5, ChatGPT-4.0, and Gemini-1.5). It evaluated differences in severity assessment, hospitalization decisions, and test selection, while exploring the influence of demographic and professional characteristics on decision accuracy.
Methods
A prospective observational study was conducted among 82 emergency nurses (49 from Italy, 33 from Israel), each independently evaluating five standardized clinical cases. Their decisions were compared with those generated by Generative Artificial Intelligence models using a structured evaluation rubric. Statistical analyses included ANOVA, chi-square tests, logistic regression, and receiver operating characteristic curve analysis to assess predictive accuracy.
Results
Generative Artificial Intelligence models exhibited higher overall decision accuracy and stronger alignment with expert recommendations. However, notable discrepancies emerged in hospitalization decisions and severity assessments. For example, in Case 2, Generative Artificial Intelligence rated severity as level 1, while Italian and Israeli nurses rated it at 1.98 and 2.23, respectively (P < 0.01, F = 199). In Case 1, only 4.1 % of Italian nurses recommended hospitalization compared to 30.3 % of Israeli nurses, whereas all Generative Artificial Intelligence models advised hospitalization. Nurses showed greater variability in test selection and severity judgments, reflecting their use of clinical intuition and contextual reasoning. Demographics such as age, gender, and years of experience did not significantly predict accuracy.
Conclusions
Generative Artificial Intelligence models demonstrated consistency and expert alignment but lacked the contextual sensitivity vital in emergency care. These results highlight the potential of Generative Artificial Intelligence as a clinical decision-support tool while emphasizing the continued importance of human clinical judgment.",C. Levin and A. Zaboli and G. Turcato and M. Saban,"Clinical decision-making, Generative AI, Emergency nursing, AI decision support, Nursing judgment, AI in healthcare",2025,International Journal of Nursing Studies,https://doi.org/10.1016/j.ijnurstu.2025.105216,https://www.sciencedirect.com/science/article/pii/S0020748925002263,172,,105216,0020-7489,sciencedirect
Design and validation of a questionnaire on teachers' uses of generative artificial intelligence,"The use of generative artificial intelligence (GAI) in secondary education is transforming teaching practices and students' learning experiences. This study presents the design and validation of a questionnaire to assess the various educational uses of GAI by secondary school teachers. An initial pool of items was developed based on a comprehensive review of recent literature and validated through expert judgment. The preliminary version of the instrument was administered to a sample of 486 secondary school teachers in Spain. Confirmatory factor analyses supported a six-dimension structure: teacher management, creation of teaching materials, student assessment, student empowerment, attention to diversity, and student motivation. The questionnaire demonstrated high internal consistency and adequate convergent and discriminant validity. The results show that teachers use GAI both to optimize their professional performance and to enrich students' learning experiences. Practical implications of the instrument for teacher training, institutional decision-making, and future research directions are discussed.",Héctor Pérez-Montesdeoca and Daniel Rodríguez-Rodríguez and David Stendardi and Aitana Fernández-Sogorb,"Confirmatory factor analysis, Generative artificial intelligence, Questionnaire, Secondary education, Validation",2026,Computers and Education Open,https://doi.org/10.1016/j.caeo.2026.100332,https://www.sciencedirect.com/science/article/pii/S2666557326000030,10,,100332,2666-5573,sciencedirect
"A review of Generative Artificial Intelligence for additive manufacturing: Bridging design, process monitoring, and beyond","Additive Manufacturing (AM) offers great design freedom, enabling the fabrication of geometrically complex, multi-material, multi-scale, and functionally optimized parts. However, it also introduces unique challenges regarding manufacturability constraints and complicated interdependencies among design, manufacturing process, and material properties. Recent advances in Generative Artificial Intelligence (GenAI) offer new opportunities to enhance AM workflow through data-driven approaches. This paper presents a comprehensive review of GenAI in AM, examining how advances in visual generative models and large language models, ranging from adversarial, variational, and diffusion-based architectures to foundation models like GPT, are reshaping design generation, process intelligence, and knowledge-driven manufacturing workflows. By integrating AM-specific insights into the generation process, VGMs enable generative design for AM, future build status prediction, process monitoring image enhancement, and data synthesis for downstream model training. Meanwhile, the powerful reasoning capabilities of LLMs enable knowledge acquisition, text-guided script synthesis for design and executable code generation, and adaptive process optimization. The review systematically assesses model architectures, applications, and performance across AM workflows, highlighting current challenges in data availability, constraint integration, three-dimensional (3D) generation, multi-source information fusion, and benchmarking. Future research directions toward context-aware, physics-informed, unified, and trustworthy GenAI frameworks are discussed to advance material design and enable smart, adaptive AM systems.",Wei Quan and David William Rosen and Binyang Song,"Generative AI, Additive manufacturing, Visual generative model, Large language models, Design for additive manufacturing, Process planning and control",2026,Journal of Manufacturing Systems,https://doi.org/10.1016/j.jmsy.2026.03.013,https://www.sciencedirect.com/science/article/pii/S0278612526000749,86,,393-416,0278-6125,sciencedirect
Generative artificial intelligence for project evaluation: comparing large language models and human experts,"Peer review is at the heart of quality control in research and innovation (R&I) project proposals. Yet, the process remains slow, time-consuming, and increasingly strained by rising academic workloads. This study aimed to investigate the capabilities of Generative Pretrained Transformers (GPTs), a form of artificial intelligence (AI), compared to human experts in the context of R&I project evaluation. The research compares the anonymous scoring of three project proposals by human reviewers and GPTs. Further human experts then evaluated the quality of these reviews. The GPTs demonstrated the same ability to generate comprehensive reviews, with their quantitative scores equivalent to the human averages. Moreover, no substantial differences could be observed in the quality of human and AI reviews. While encouraging, current important limitations of this approach include eventual biases present in the large language model training data. Thus, human judgment is still necessary to ensure accuracy and safety, indicating that AI cannot fully replace humans. In summary, our findings elucidate the combined efficacy of AI and human proficiency, promoting a cooperative framework wherein AI functions as an enhancement tool, consequently maximizing human effectiveness in the evaluation of project proposals.",José M.R.C.A. Santos and Gabriela Fernandes,"project evaluation, artificial intelligence, peer review, research, innovation",2026,Procedia Computer Science,https://doi.org/10.1016/j.procs.2026.03.136,https://www.sciencedirect.com/science/article/pii/S1877050926007313,278,,1494-1501,1877-0509,sciencedirect
"“Generative artificial intelligence in pharmaceutical drug development: A systematic review of time and cost efficiency across discovery, preclinical, and clinical phases”","The pharmaceutical drug development process is notoriously complex, lengthy, and costly, often requiring more than a decade and billions of dollars to bring a single compound to market. Generative artificial intelligence (AI) has emerged as a disruptive technology with the potential to accelerate this process by designing novel molecules, predicting biological interactions, and generating synthetic data. This systematic review, conducted according to PRISMA 2020 guidelines, analyzes 100 peer-reviewed studies published between 2018 and early 2025 to examine how generative AI contributes to time and cost efficiency across the discovery, preclinical, and clinical phases of drug development. The findings reveal that AI demonstrates the greatest reported impact in early-stage discovery, significantly reducing timelines for molecule identification and lead optimization while lowering experimental costs, although much of this evidence is based on in-silico proof-of-concept studies. In preclinical development, AI shows potential for predictive toxicology and resource-efficient study design, though applications remain limited and prospective validation is sparse. Clinical adoption is still emerging, with efficiency gains primarily seen in cost reduction rather than time savings, and no robust evidence yet that computational acceleration translates into reduced attrition or regulatory progress. Overall, the review highlights hidden costs as well as methodological, regulatory, and ethical barriers that currently hinder broader adoption. Future research should focus on expanding AI applications to later stages of development, standardizing evaluation metrics, and ensuring responsible, explainable integration into pharmaceutical R&D workflows.",Aaron Riemer and Victoria Freund,"Generative artificial intelligence, Drug discovery, Pharmaceutical development, Time and cost efficiency, Systematic review",2026,Intelligent Pharmacy,https://doi.org/10.1016/j.ipha.2025.12.006,https://www.sciencedirect.com/science/article/pii/S2949866X25000784,,,,2949-866X,sciencedirect
Identifying highly correlated determinants influencing student nurses' behavioral intention of using generative artificial intelligence (Generative AI): A network analysis,"Aim
This study aims to identify the most critical factors influencing nursing students' behavioral intention to use generative artificial intelligence by developing a network structure.
Background
Generative artificial intelligence is increasingly integrated into nursing education and clinical nursing practice. Studies have explored the factors influencing behavioral intentions toward the use of Artificial Intelligence, but research specific to Generative Artificial Intelligence is still lacking. It's crucial for nursing students to use generative artificial intelligence effectively, especially as clinical environments change rapidly in the digital era. Thus, it is important to identify the key factors that influence their intention to use.
Methods
A cross-sectional study was conducted. 800 participants were recruited from November to December 2023 through convenient sampling. Network analysis was applied in this study to identify the important nodes that are the most critical target goals for improving the behavioral intention of using Generative artificial intelligence by R package.
Results
The network analysis indicated that Artificial Intelligence Relevance, Ethical Awareness About Artificial Intelligence served as central factors in the network of Generative Artificial Intelligence Intention of using (EI = 1.19, 1.06). Artificial Intelligence Literacy was a key bridge node linking the Generative Artificial Intelligence Intention of using with its influencing factor associations (BEI = 0.33).
Conclusions
Generative Artificial Intelligence Relevance, Ethical Awareness about Generative Artificial Intelligence and Generative Artificial Intelligence Literacy serves as potential targets for enhancing nursing students' behavioral intention. Nursing educators and universities could consider targeted and collaborative effort to improve their behavioral intention.",Yaqi Zhu and Fule Wen and Jie Wu and Peiyi Huang and Yuanyuan Zhang,"Generative artificial intelligence, Nursing students, Network analysis",2025,Nurse Education Today,https://doi.org/10.1016/j.nedt.2025.106855,https://www.sciencedirect.com/science/article/pii/S0260691725002928,154,,106855,0260-6917,sciencedirect
"Development of a web application for the cognitive stimulation of older adults with mild cognitive impairments, using advanced web scraping techniques and generative artificial intelligence","This study describes the design, development, and evaluation of VitalMindAI, a web application that provides personalized cognitive stimulation for older adults with mild cognitive impairment, focusing on memory, attention, and language. This innovative tool integrates web scraping techniques and generative artificial intelligence to provide cognitive exercises tailored to each older adult's unique needs, facilitating caregivers' work and improving the quality of geriatric care. Requirements for developing VitalMindAI were identified through interviews with caregivers at a gerontological center. Based on this information, we created a functional prototype that enables the generation, validation, and management of cognitive activities tailored to the individual needs of older adults. The results showed a significant reduction in the time required to generate cognitive exercises, from several minutes to less than a minute (with VitalMindAI), which evidences the efficiency of VitalMindAI and its high acceptance among caregiver users. Previously, exercises were generated manually by caregivers, taking an average of 15 to 20 min per activity. This demonstrates the improvement achieved with VitalMindAI. In addition, VitalMindAI has demonstrated its ability to dynamically generate content that stimulates cognitive functions in memory, attention, and language, without causing technical interruptions. The evaluation of VitalMindAI was conducted through tests with professional caregivers from a gerontological center, utilizing the Think-Aloud technique and the System Usability Scale (SUS) questionnaire. The Think-Aloud sessions revealed that users found VitalMindAI to be intuitive, agile, and appropriate to the real needs of the gerontological context. However, as a result of the evaluation, users suggested improvements in the visual hierarchy and terminology used. After applying the SUS questionnaire, VitalMindAI obtained an average score of 87.5, placing it in the “Excellent” category for usability. Overall, VitalMindAI proves to be a viable, scalable, and valuable solution for geriatric care settings, automating key tasks and enhancing cognitive stimulation of memory, attention, and language through accessible and intelligent technologies.",Nancy Rodríguez and John W. Castro and Lucrecia Llerena and Bertha Vazquez and Donald Silva,"Older adults, Mobile application, Artificial intelligence, Software, Cognitive stimulation, Web scraping",2026,Social Sciences & Humanities Open,https://doi.org/10.1016/j.ssaho.2026.102694,https://www.sciencedirect.com/science/article/pii/S2590291126002597,13,,102694,2590-2911,sciencedirect
Applications of Generative Artificial Intelligence for Strabismus Surgery Video-Based Education,"Objective
To develop educational artificial intelligence (AI)–generated videos for patients undergoing strabismus surgery and assess patient perceptions of these videos.
Design
Prospective interventional study.
Subjects
Adult patients with strabismus seen at University of California San Diego who were evaluated and subsequently underwent strabismus surgery.
Methods
A pipeline of AI software including Claude Sonnet, Sora, Visla, and Tavus were used to generate a script educating patients on strabismus surgery, create avatars of real ophthalmologists, and AI-generated video clips. Surveys on Google Forms were created to (1) preoperatively assess whether patients could discern whether the videos were AI-generated and educational and (2) postoperatively whether the video remained educational. These videos were disseminated to patients once consent for strabismus surgery was obtained, and surveys were given to patients preoperatively and postoperatively.
Main Outcome Measures
Patient perceptions and educational value of the video were assessed using Likert scales and yes versus no questions, which were averaged or enumerated, respectively. Subjective comments were also thematically assessed.
Results
Thirty patients who underwent strabismus surgery were included in this study. The mean age was 54.0 ± 19.8 years with the majority undergoing surgery for the first time (n = 23 [76.7%]). Patients responded that these videos improved their understanding of strabismus (4.3 ± 0.9), strabismus surgery (4.2 ± 1.1), and eased their concerns (4.5 ± 0.8). Additionally, patients generally did not recognize that the video was AI-generated (4.3 ± 1.1), responded that they would watch more AI-generated videos in the future (4.7 ± 0.7), and would recommend AI-generated content to others (4.7 ± 0.65). When surveyed postoperatively, this sentiment persisted. Subjectively, patients generally emphasized how this video was both educational and reassuring.
Conclusions
In this proof-of-concept study, patients generally felt AI-generated videos for strabismus surgery added educational value. Additionally, most patients perceived the AI-generated content positively. Future studies with larger sample sizes and outcome-based and validated educational endpoints are needed to prospectively evaluate the clinical impact of AI-generated educational content on other conditions and interventions. This approach may open new opportunities to improve patient understanding and ability to contribute to their care.
Financial Disclosure(s)
Proprietary or commercial disclosure may be found in the Footnotes and Disclosures at the end of this article.",Jimmy S. Chen and Marissa Stinnett and Clarissa Camarena and Akshara R. Legala and Elena Flester and Gustavo Wanderer and Jennifer Bu and Skenda Jean Charles and Erika C. Acera and Shira L. Robbins and David B. Granet,"Artificial intelligence, Patient education, Video-based education, Generative artificial intelligence, Strabismus surgery",2026,Ophthalmology Science,https://doi.org/10.1016/j.xops.2026.101144,https://www.sciencedirect.com/science/article/pii/S2666914526000825,6,5,101144,2666-9145,sciencedirect
Domain experts in the loop: Leveraging generative artificial intelligence for interactive data validation in process mining,"Process mining analyzes process execution data to derive insights that support operational process improvement. However, event logs often suffer from poor data quality, typically resulting from process deficiencies, which can lead to inaccurate or misleading insights. To mitigate this risk, domain experts and process analysts engage in data validation during event data preparation to assess whether an event log is fit for its intended analytical purpose. Yet, current practices often fail to sufficiently align event logs with their analytical objectives, commonly formalized as analysis questions. This misalignment impedes the detection of data quality issues, which frequently vary across application domains and analytical contexts. Generative artificial intelligence offers promising capabilities in this regard, including adaptability to diverse contexts, the ability to interpret complex data, and the generation of context-aware recommendations. To leverage this potential, we adopt the Design Science Research paradigm to iteratively develop Artificial Intelligence-Assisted Data Validation For Domain Experts (AID4DE) that integrates domain knowledge — rooted in experts’ practical engagement with operational processes — with generative artificial intelligence support to facilitate interaction with complex event log data. We instantiate AID4DE as an open-source software prototype and evaluate it through a three-phase approach: a competing artifact analysis, 14 semi-structured expert interviews, and a user study involving 18 information systems researchers. Our results show that AID4DE is both applicable and effective in supporting domain experts in data validation, enabling the systematic externalization of domain knowledge and rigorous assessment of event log’s fitness for purpose.",Julian Armin Dormehl and Robert Andrews and Wolfgang Kratsch and Maximilian Röglinger and Moe Thandar Wynn and Felix Zetzsche,"Process mining, Event data quality, Data validation, Generative artificial intelligence, Domain knowledge, Design science research, Fitness for purpose",2026,Information Systems,https://doi.org/10.1016/j.is.2026.102715,https://www.sciencedirect.com/science/article/pii/S0306437926000293,140,,102715,0306-4379,sciencedirect
Generative artificial intelligence-enhanced virtual screening: A hybrid strategy for identifying novel ROCK2 inhibitors,"Idiopathic pulmonary fibrosis (IPF), a disease with poor survival, is closely associated with the hyperactivation of Rho-associated protein kinase 2 (ROCK2), making ROCK2 inhibitors a promising therapeutic option. However, classical docking-centric virtual screening for ROCK2 inhibitor discovery faces challenges such as high false positives and limited chemical diversity. To address these limitations, we integrated generative artificial intelligence (AI) and cheminformatics techniques into our virtual screening workflow using AutoMolDesigner, a tool we recently developed. As a result, we successfully identified a structurally unique hit, 8413, which exhibited potent ROCK2 inhibition (half maximal inhibitory concentration (IC50) = 0.12 µmol/L), low cytotoxicity, significant anti-fibrotic activity, effective inhibition of the ROCK signaling pathway in the human pulmonary fibroblasts (HPF) cells and excellent ROCK2 kinase selectivity. Moreover, 8413 markedly attenuated pulmonary fibrosis in bleomycin (BLM)-induced IPF mice. This study not only identified a highly promising lead compound that inhibits ROCK2 for IPF treatment, but also introduced an innovative application paradigm that effectively highlighted the transformative potential of combining generative AI with classical virtual screening in drug discovery.",Jiale Guo and Cheng Fan and Yufei Liu and Tao Shen and Manru Li and Miao Lin and Tiantian Wang and Xinrong Feng and Jinlan Zhang and Yanan Wang and Song Wu and Dongmei Wang,"Generative artificial intelligence, Virtual screening, Rho-associated kinase 2 inhibitors, Idiopathic pulmonary fibrosis, Hybrid strategy",2026,Chinese Chemical Letters,https://doi.org/10.1016/j.cclet.2026.112860,https://www.sciencedirect.com/science/article/pii/S1001841726005036,,,112860,1001-8417,sciencedirect
The Convergent Validity of Project Management Software Evaluation by Generative Artificial Intelligence Models,"This article explores the convergent validity—or, more precisely, the inter-rater consistency—of popular generative artificial intelligence (AI) models in evaluating the quality of project management (PM) software. This study employed three prominent generative AI models—Gemini, CoPilot on Edge, and DeepSeek—to independently assign rating scores (1-10) to a curated list of 50 top-tier PM software systems/tools. The evaluation was structured around eight critical dimensions. Statistical analyses were conducted to assess the consistency of the AI-generated ratings. These included descriptive statistics to measure rating discrimination, analysis of mean absolute differences, paired-samples t-tests to identify erratic and systematic rating biases between AI model pairs, and Cronbach’s alpha to determine overall inter-rater consistency for each dimension. The results reveal a high degree of inter-rater consistency across all eight dimensions, a finding juxtaposed with the presence of significant systematic biases between the models. Cronbach’s alpha coefficients were found to be acceptable for all dimensions (α = .782 to .897), indicating that the models consistently rate the PM software in a similar order. However, the t-tests confirmed that each model possessed a distinct ""rating personality,"" consistently scoring higher or lower than its counterparts. These findings suggest that while generative AI is a surprisingly trustworthy measure for rating PM software roughly in a particular order, decision-makers must account for the distinct rating biases of each model. Relying on a single model for absolute rating scores is ill-advised, but leveraging multiple models to establish a consensus on relative quality is a viable and powerful new approach for PM software evaluation.",Victor K.Y. Chan,"Convergent validity, inter-rater consistency, project management software, generative AI, software evaluation, AI consistency",2026,Procedia Computer Science,https://doi.org/10.1016/j.procs.2026.03.193,https://www.sciencedirect.com/science/article/pii/S187705092600788X,278,,1967-1974,1877-0509,sciencedirect
Generative artificial intelligence in operations,"The rise of generative artificial intelligence (AI) may present a significant opportunity for a profound revolution in operations and supply chain management. However, such technological advancement is accompanied by a scholarly discourse that navigates the balance between its promising abilities and challenges. This chapter provides an overview of generative AI in operations and supply chain management. It begins by expositing its fundamental technical concepts and role alongside existing AI technologies. Subsequently, it delves into potential applications and challenges in implementing generative AI in operations. A future research agenda and takeaways for practitioners and Operations Management (OM) researchers are proposed at the end.",Yingxuan Fu and Hing Kai Chan and Zhao Cai,"Generative AI, , Generative adversarial network, Large language model, Transformer, Variational autoencoder",2026,,https://doi.org/10.1016/B978-0-443-28993-4.00057-3,https://www.sciencedirect.com/science/article/pii/B9780443289934000573,,,334-343,,sciencedirect
"A systematic review of generative artificial intelligence techniques for synthetic medical image datasets: Quality, models, public availability and applications","Background and Objective
Generative Artificial Intelligence (GAI) offers promising solutions to long-standing challenges in developing medical imaging methods and applications, including data scarcity, privacy concerns, and class imbalance. However, limited consolidation of publicly accessible synthetic datasets and trained GAI checkpoints restricts reproducibility and benchmarking. This systematic review aims to identify and evaluate such resources and assess their utility in clinical imaging applications.
Methods
We systematically searched PubMed, IEEE Xplore, and Scopus for studies published between January 2017 and June 2024. Eligible studies generated or used synthetic medical image datasets and publicly released either the dataset or the trained GAI model. Extracted data included imaging modality, dataset characteristics, model architecture, public availability, and evaluation strategy.
Results
Of 941 screened records, 35 studies met inclusion criteria, comprising 37 publicly available resources spanning radiology (59%), pathology (16%), ophthalmology (14%), and dermatology (11%). Generative models included generative adversarial networks (73%), diffusion models (21%), autoencoders (3%), and hybrid architectures (8%). As some studies employed multiple model types, these categories are not mutually exclusive. Fifteen (43%) studies provided trained model checkpoints, enabling the generation of task-specific synthetic data. Evaluation methods included quantitative metrics, clinical expert assessment, and downstream performance in classification, segmentation, or detection tasks.
Conclusion
Although the reviewed resources support diverse downstream applications, publicly available synthetic datasets and trained models remain scarce. Evaluation strategies vary widely, and the absence of standardized benchmarks limits cross-study comparisons and reliability assessment. To support reproducibility and responsible use of GAI in medical imaging, future work should prioritize the public release of curated synthetic resources, clearer guidance on model selection, and standardized, multi-dimensional evaluation frameworks.",Xingyue Fu and Xiaoshuang Li and Eduardo Delamare and Adam G. Dunn and Lei Bi and Jinman Kim,"Synthetic medical imaging, Generative artificial intelligence (GAI), Data sharing, Image quality evaluation, Benchmarking",2026,Computer Methods and Programs in Biomedicine,https://doi.org/10.1016/j.cmpb.2026.109331,https://www.sciencedirect.com/science/article/pii/S0169260726000982,280,,109331,0169-2607,sciencedirect
AI for the underdogs: Navigating risk and growth in high-tech micro-firms through generative artificial intelligence,"Generative Artificial Intelligence (Gen-AI) has gained significant traction in larger firms, yet its adoption among micro-firms remains underexplored particularly in contexts marked by resource scarcity and heightened operational risk. This study addresses this gap by investigating how high-tech micro-firms adopt Gen-AI for risk management and growth. Drawing on semi-structured interviews with decision-makers from eight Finnish micro-firms, the research applies the Technology-Organization-Environment (TOE) framework to identify critical enablers and barriers. The findings highlight five key dimensions influencing adoption: technological readiness, leadership engagement, regulatory compliance, data-driven decision-making, and competitive pressures. While Gen-AI fosters operational resilience and strategic agility, its impact is constrained by limited data quality and high implementation costs. By offering a holistic and theoretically grounded perspective, this study advances understanding of Gen-AI adoption in micro-firms and contributes to literature on digital transformation under resource constraints. The insights also inform policymakers and practitioners aiming to enhance AI accessibility and governance for micro-enterprises.",Faisal Shahzad and Mohammad Tayeenul Hoque and Iqra Sadaf Khan and Ahmad Arslan,"Artificial intelligence, Generative AI, High-tech Micro-firms, Risk management, Technology adoption",2026,Journal of Strategy & Innovation,https://doi.org/10.1016/j.jsinno.2026.200566,https://www.sciencedirect.com/science/article/pii/S3050790126000045,37,1,200566,3050-7901,sciencedirect
"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges","Generative artificial intelligence (GenAI) has been increasingly integrated into education, but its application in automated writing evaluation (AWE) remains underexplored. The absence of a comprehensive synthesis leaves unresolved questions about their effectiveness, reliability, and ethical implications in high-stakes contexts. This study addresses that gap through a systematic review of 96 empirical works on GenAI in AWE, consolidating evidence on efficacy, challenges, and pedagogical value. Following PRISMA guidelines and guided by the CIMO framework, the review combined quantitative descriptive mapping with qualitative thematic synthesis to evaluate interventions, mechanisms, and outcomes. The analysis shows that GenAI systems perform efficiently in grammar correction, coherence, and rubric-based tasks while remaining inconsistent in assessing higher-order skills such as argumentation and creativity. Findings also reveal conditional effectiveness, with outcomes shaped by context, task design, and prompting strategies, alongside mixed impacts on learner motivation and teacher workload. Despite aligning with human raters on surface-level accuracy, unresolved concerns regarding validity, equity, and academic integrity limit their readiness for high-stakes assessment. The review concludes that GenAI in AWE represents both promise and risk, requiring careful integration and human oversight. These insights carry significant implications for theory, pedagogy, and methodology.",Shadi I. Abudalfa and Jessie S. Barrot,"Generative AI, Automated writing evaluation, Writing assessment, Large language models, Artificial intelligence, Systematic review",2026,Assessing Writing,https://doi.org/10.1016/j.asw.2026.101041,https://www.sciencedirect.com/science/article/pii/S1075293526000292,68,,101041,1075-2935,sciencedirect
Generative Artificial Intelligence as a Research Partner in Orthopaedics: State of the Art,"The integration of Artificial Intelligence (AI) into medicine has progressed from discriminative models to Generative AI (GenAI), which can synthesize novel content. For orthopaedic surgeons, scientific publication remains a vital marker of academic success but is often constrained by clinical workload. This review proposes a structured, practical framework to help orthopaedists effectively harness AI tools, transitioning from opaque, “black box” generation to grounded, verifiable research assistance through Retrieval-Augmented Generation (RAG). A PubMed search was conducted to explore the application of GenAI in the context of orthopaedic scientific research. An interactive review with experts in GenAI was also conducted, from which the proposed structure was developed. From this synthesis, a three-phase workflow is proposed: (1) Evidence selection using semantic discovery systems to identify and map relevant literature beyond keyword matching; (2) Data extraction and synthesis employing RAG-based systems to anchor AI responses to verified PDF sources, thereby minimizing hallucinations; and (3) Drafting and refining using Large Language Models (LLMs) for structured composition, linguistic clarity, and iterative manuscript improvement. The workflow integrates platform features to enhance efficiency, accuracy, and accessibility in orthopaedic research. When applied within a controlled, evidence-grounded environment, these systems can automate literature synthesis, expedite data extraction, and assist with scientific writing, while preserving authorial intent and accountability. However, challenges remain. Risks include algorithmic bias, “hallucinations”, privacy concerns, and ethical issues related to authorship. Despite these limitations, AI represents a paradigm shift in orthopaedic scholarship, functioning as a cognitive exoskeleton that augments rather than replaces human expertise. With vigilant human oversight and adherence to journal ethics, orthopaedic surgeons can leverage AI to enhance research productivity, reproducibility, and quality while upholding the highest standards of scientific integrity.",Ricardo Bastos and Américo Dias and Paulo Amado and Philippe Neyret and João Espregueira-Mendes and Sthefan Gabriel Berwanger,"Artificial intelligence, Generative AI, Scientific writing, Orthopaedic research, Large language models, Retrieval-Augmented Generation",2026,Journal of ISAKOS,https://doi.org/10.1016/j.jisako.2026.101126,https://www.sciencedirect.com/science/article/pii/S2059775426000623,,,101126,2059-7754,sciencedirect
